Session Title,Player Name,Minutes Played,Split Name,Player Name,Distance (miles),Player Name,Sprint Distance (yards),Player Name,Power Plays,Energy (kcal),Impacts,Hr Load,Time In Red Zone (min),Player Load,Player Name,Top Speed (mph),Distance Per Min (yd/min),Power Score (w/kg),Work Ratio,Hr Max (bpm),Max Deceleration (m/s/s),Max Acceleration (m/s/s),Distance in Speed Zone 1 (miles),Distance in Speed Zone 2 (miles),Distance in Speed Zone 3 (miles),Distance in Speed Zone 4 (miles),Distance in Speed Zone 5 (miles),Time in Speed Zone 1 (secs),Time in Speed Zone 2 (secs),Time in Speed Zone 3 (secs),Time in Speed Zone 4 (secs),Time in Speed Zone 5 (secs),Impact Zones: 3 - 5 G (Impacts),Impact Zones: 5 - 10 G (Impacts),Impact Zones: 10 - 15 G (Impacts),Impact Zones: 15 - 20 G (Impacts),Impact Zones: > 20 G (Impacts),Power Play Duration Zones: 0 - 2.5 s (Power Plays),Power Play Duration Zones: 2.5 - 5 s (Power Plays),Power Play Duration Zones: 5 - 7.5 s (Power Plays),Power Play Duration Zones: 7.5 - 10 s (Power Plays),Power Play Duration Zones: > 10 s (Power Plays),Distance in Deceleration Zones: 0 - 1 m/s/s (miles),Distance in Deceleration Zones: 1 - 2 m/s/s (miles),Distance in Deceleration Zones: 2 - 3 m/s/s (miles),Distance in Deceleration Zones: 3 - 4 m/s/s (miles),Distance in Deceleration Zones: > 4 m/s/s (miles),Time in Deceleration Zones: 0 - 1 m/s/s (secs),Time in Deceleration Zones: 1 - 2 m/s/s (secs),Time in Deceleration Zones: 2 - 3 m/s/s (secs),Time in Deceleration Zones: 3 - 4 m/s/s (secs),Time in Deceleration Zones: > 4 m/s/s (secs),Distance in Acceleration Zones: 0 - 1 m/s/s (miles),Distance in Acceleration Zones: 1 - 2 m/s/s (miles),Distance in Acceleration Zones: 2 - 3 m/s/s (miles),Distance in Acceleration Zones: 3 - 4 m/s/s (miles),Distance in Acceleration Zones: > 4 m/s/s (miles),Time in Acceleration Zones: 0 - 1 m/s/s (secs),Time in Acceleration Zones: 1 - 2 m/s/s (secs),Time in Acceleration Zones: 2 - 3 m/s/s (secs),Time in Acceleration Zones: 3 - 4 m/s/s (secs),Time in Acceleration Zones: > 4 m/s/s (secs),Distance in Power Zone: 0 - 5 w/kg (miles),Distance in Power Zone: 5 - 10 w/kg (miles),Distance in Power Zone: 10 - 15 w/kg (miles),Distance in Power Zone: 15 - 20 w/kg (miles),Distance in Power Zone: 20 - 25 w/kg (miles),Distance in Power Zone: 25 - 30 w/kg (miles),Distance in Power Zone: 30 - 35 w/kg (miles),Distance in Power Zone: 35 - 40 w/kg (miles),Distance in Power Zone: 40 - 45 w/kg (miles),Distance in Power Zone: 45 - 50 w/kg (miles),Distance in Power Zone: > 50 w/kg (miles),Time in Power Zone: 0 - 5 w/kg (secs),Time in Power Zone: 5 - 10 w/kg (secs),Time in Power Zone: 10 - 15 w/kg (secs),Time in Power Zone: 15 - 20 w/kg (secs),Time in Power Zone: 20 - 25 w/kg (secs),Time in Power Zone: 25 - 30 w/kg (secs),Time in Power Zone: 30 - 35 w/kg (secs),Time in Power Zone: 35 - 40 w/kg (secs),Time in Power Zone: 40 - 45 w/kg (secs),Time in Power Zone: 45 - 50 w/kg (secs),Time in Power Zone: > 50 w/kg (secs),Time in HR Load Zone 0% - 60% Max HR(secs),Time in HR Load Zone 60% - 75% Max HR (secs),Time in HR Load Zone 75% - 85% Max HR (secs),Time in HR Load Zone 85% - 96% Max HR (secs),Time in HR Load Zone 96% - 100% Max HR (secs),Accelerations Zone Count: 0 - 1 m/s/s,Accelerations Zone Count: 1 - 2 m/s/s,Accelerations Zone Count: 2 - 3 m/s/s,Accelerations Zone Count: 3 - 4 m/s/s,Accelerations Zone Count: > 4 m/s/s,Deceleration Zone Count: 0 - 1 m/s/s,Deceleration Zone Count: 1 - 2 m/s/s,Deceleration Zone Count: 2 - 3 m/s/s,Deceleration Zone Count: 3 - 4 m/s/s,Deceleration Zone Count: > 4 m/s/s,,,Player Name
DePauw,M,1,game,M,0.0893,M,7.734,M,1,13.3333,0,0,0,11.5033,M,12.6,1.5924,0.1065,0.2213,0,4.7371,0,0.0355,0.0348,0.0145,0.0044,0,5869.3,42.4,5.7,1.3,0,2,0,0,0,0,0,1,0,0,0,0.0346,0.0019,0.002,0.0019,0.0006,248.1,1.1,1.2,0.8,0.2,0.0414,0.0058,0.001,0,0,5663.2,3.3,0.8,0,0,0.0594,0.0042,0.0068,0.0041,0.0062,0.0044,0.0018,0.0016,0.0007,0,0,5903.1,4.1,4.2,1.6,2.6,1.5,0.7,0.6,0.3,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,1,1,2,2,M
DePauw,B ,12,game,B ,1.2661,B ,155.2861,B ,13,222.2616,0,0,0,102.6755,B ,13.6,22.5889,1.587,8.9968,0,5.4445,3.9334,0.1511,0.5634,0.4635,0.0882,0,5188.8,504.4,199.2,26.4,0,31,0,0,0,0,0,9,3,0,1,0.5017,0.098,0.0259,0.0048,0.003,924.8,77.7,16.5,2.9,1.5,0.5337,0.0774,0.0191,0.0026,0.0001,4797.9,77.4,17.2,2.6,0.3,0.2104,0.3133,0.2998,0.2345,0.1236,0.0491,0.0174,0.0081,0.0039,0.0038,0.0022,5266.6,299.8,170.2,103.2,45.9,18.1,6.7,3.7,1.7,1.9,1,0,0,0,0,0,0,44,26,8,0,0,39,27,9,4,13,13,B 
DePauw,R,81,game,R,5.6413,R,373.1441,R,37,946.5642,0,0,0,354.4679,R,15.7,100.6464,6.9703,40.3146,0,6,4.3963,0.5794,2.9906,1.8593,0.208,0.0041,2279.2,2760,819.3,59.3,0.9,83,0,0,0,0,0,22,8,5,2,2.4166,0.3644,0.0912,0.0273,0.0077,2468.8,274.1,57.8,16.8,4.1,2.2758,0.3954,0.0553,0.0074,0.0002,2715.8,327,47.3,6.8,0.2,1.0276,1.5577,1.5293,0.9155,0.3284,0.1434,0.0705,0.0285,0.0216,0.0112,0.0077,2886.6,1504.7,868.3,418,133,55.5,26.6,10.7,7.9,4.3,3.1,0,0,0,0,0,0,250,115,25,2,0,211,112,45,17,62,62,R
DePauw,Z,8,game,Z,1.0987,Z,59.1348,Z,8,176.4043,1,0,0,126.1047,Z,13.9,19.6024,1.3629,6.4319,0,5.1112,3.8178,0.9338,0.0917,0.0396,0.0263,0.0073,5863,33.9,12.7,7.4,1.9,30,1,0,0,0,0,4,3,1,0,0.4655,0.0857,0.0216,0.005,0.0014,1892.6,68.9,13.1,3.4,0.9,0.4196,0.0827,0.0153,0.002,0,3844.7,79.1,14.2,2,0,0.3479,0.1928,0.2291,0.1719,0.0845,0.0422,0.0171,0.0081,0.0035,0.0015,0.0003,5471.7,177.6,131.1,75.5,34.9,15.6,6.8,3.5,1.4,0.7,0.1,0,0,0,0,0,0,49,26,10,0,0,44,21,12,3,15,15,Z
DePauw,L ,90,game,L ,5.9906,L ,201.9756,L ,39,1033.1624,0,0,0,423.9804,L ,14.3,106.8775,7.6078,43.5021,0,5.9075,5.0037,5.333,0.3513,0.1916,0.1,0.0147,5696.4,129.6,61,28,3.8,115,0,0,0,0,0,23,9,5,2,2.4589,0.5019,0.1142,0.0393,0.0086,2550.1,369.2,70.2,21.2,4.3,2.2718,0.4748,0.1028,0.0162,0.0021,2408.4,390.3,88.2,14.9,2,1.132,1.7586,1.5274,0.8362,0.3858,0.1737,0.0801,0.0426,0.0237,0.0138,0.0168,2639.9,1690.3,887.5,393.1,159.8,72.8,33.6,18.2,10.2,5.7,7.7,0,0,0,0,0,0,304,186,52,12,0,321,148,51,22,73,73,L 
DePauw,Q,51,game,Q,4.1542,Q,69.4202,Q,25,885.3768,1,0,0,322.0192,Q,13.9,74.1276,5.2165,29.9316,0,6,4.6978,3.6036,0.3734,0.1378,0.0355,0.0039,5725.4,138,44,10.1,1,109,1,0,0,0,0,16,6,1,2,1.6996,0.2989,0.0802,0.0257,0.0082,2242.8,211.9,49.9,14.9,4.4,1.6558,0.327,0.052,0.0064,0.0004,3087.9,256.9,43.4,5.9,0.5,0.7128,1.0736,1.0728,0.7804,0.3134,0.1223,0.0413,0.0201,0.0078,0.0056,0.004,3700.3,1035.7,612.4,353.4,130.2,51.5,18.3,8.8,3.6,2.4,1.9,0,0,0,0,0,0,195,115,18,3,0,197,80,38,19,57,57,Q
DePauw,J,33,game,J,2.5091,J,85.8779,J,16,492.1348,1,0,0,199.9175,J,15.5,44.7649,3.1771,20.5241,0,4.4889,4.5899,2.2199,0.1668,0.0737,0.0315,0.0173,5821.1,61.1,23.5,8.9,4.3,44,1,0,0,0,0,8,7,1,0,0.9988,0.2254,0.0531,0.0117,0.0013,1660.4,164.3,33.5,7,0.6,0.9729,0.1954,0.0424,0.0076,0.0005,3848.8,162.2,34.4,7.2,0.5,0.3827,0.9457,0.5495,0.3164,0.15,0.0842,0.0341,0.0214,0.0101,0.0062,0.0089,4424.9,895.1,321.3,145.6,64,34.3,14,9,4.2,2.6,3.9,0,0,0,0,0,0,127,66,25,5,0,111,70,25,5,30,30,J
DePauw,K ,90,game,K ,5.6386,K ,240.9398,K ,33,1026.0772,0,0,0,399.3584,K ,16.3,100.5981,7.1112,38.376,0,5.9556,5.0505,5.0304,0.325,0.1463,0.065,0.0719,5716.2,120.1,46.7,18.2,17.6,55,0,0,0,0,0,22,8,2,1,2.3939,0.4038,0.0944,0.0329,0.0124,2671.9,282.2,55.2,15.6,6.1,2.1527,0.4366,0.0944,0.0156,0.002,2480.9,326.9,65.7,12.7,1.6,1.2543,1.6201,1.3487,0.7261,0.3082,0.1585,0.0851,0.0518,0.0371,0.0195,0.0293,2951.5,1570.8,779.5,334.7,131.2,63.2,34.3,20.3,14.1,7.1,12.1,0,0,0,0,0,0,268,139,35,10,0,290,105,36,22,58,58,K 
DePauw,E,8,game,E,0.7361,E,26.9094,E,3,147.3181,0,0,0,62.4814,E,12.8,13.133,0.9382,5.4673,0,4.101,3.7823,0.1111,0.3908,0.2189,0.0153,0,5472.9,343.4,98,4.5,0,26,0,0,0,0,0,1,2,0,0,0.2925,0.0785,0.0111,0.0036,0.0001,500.4,62.1,7.9,2.4,0.1,0.2676,0.069,0.0107,0.0029,0.0001,5271.4,62.1,9.5,2.8,0.1,0.1509,0.2075,0.2032,0.099,0.0438,0.0144,0.0098,0.0033,0.0019,0.0005,0.0019,5525.5,193.9,117.2,48,19.4,6.7,4.5,1.4,1,0.3,0.9,0,0,0,0,0,0,44,22,11,0,0,49,19,7,1,8,8,E
DePauw,N,11,game,N,0.9233,N,60.9928,N,10,189.5809,0,0,0,72.1642,N,13.7,57.3889,4.0942,23.0538,0,3.6267,3.6889,0.7642,0.0741,0.0504,0.0315,0.0031,1646.5,27.3,16,8.9,0.8,22,0,0,0,0,0,5,4,1,0,0.3847,0.0884,0.0124,0.0021,0,459.6,59,7.7,1.3,0,0.3385,0.0818,0.0141,0.0013,0,1098.8,60.8,11.2,1.1,0,0.1641,0.2507,0.2089,0.1386,0.09,0.0324,0.0162,0.0088,0.0061,0.004,0.0035,1217.5,236.2,120.8,63,34.3,13.1,6.2,3.4,2.3,1.4,1.3,0,0,0,0,0,0,45,30,4,0,0,52,20,5,0,5,5,N
